Tahun,Wilayah,Intercept_Beta0,Beta_RLS,Beta_STS,Beta_PPK,t_Intercept,t_RLS,t_STS,t_PPK,Local_R2,Condition_Number
2021,Paniai,0.1452048459479282,-0.076155162816984,-0.3273589165144322,-0.4899838006241731,1.1328095227228574,-0.20152797383758866,-1.1033610865379349,-1.6717371992374772,0.7936959432131439,0.09381520606647926
2021,Puncak,0.041643351663210613,-0.18984073195427628,-0.37621453301223545,-0.308181568391114,0.3077005144538735,-0.4964436423443999,-1.226780239274633,-1.0707519883118495,0.8148018711633915,0.04369420948324832
2021,Puncak Jaya,-0.03517373010609573,-0.258861260288265,-0.37525134736316146,-0.2743035219006989,-0.2794515860483607,-0.7112944915848745,-1.2529903845583696,-1.0846523589351902,0.8283666964138207,0.015015598752346239
2021,Fak Fak,0.13687409588869454,-0.8544751046449955,0.23707936711150243,-0.16565458742953124,1.2016921495223183,-3.0157936027916192,1.164086553656805,-0.9683818060304724,0.6668280325897228,0.08840852268645291
2021,Kaimana,0.21019811235130265,-0.7089778763567443,0.082184472802607,-0.20840954744969742,1.765385027748435,-2.48259408423792,0.38304107670740284,-1.0941498893809722,0.6660342790797882,0.050888955140156074
2021,Manokwari,0.15370217622082472,-0.5113927932465296,0.17142886565270662,-0.3295279704397918,1.301073440917766,-1.8610899507543637,0.8291257146448202,-1.9619828332122016,0.6870942864202856,0.040747223226095
2021,Pegunungan Arfak,0.15138904897605165,-0.5488013051169267,0.17917348619974538,-0.3123691628501301,1.2929258294317194,-2.002735568688374,0.870856388848856,-1.8639816928837019,0.684919526386728,0.015332649200138614
2021,Teluk Bintuni,0.12772006713738973,-0.712722701232043,0.23127849850666243,-0.24094259415318334,1.1058397113081218,-2.580194481348904,1.1314180538284506,-1.4366996800737843,0.6786483031076355,0.1255799290880008
2021,Teluk Wondama,0.25057675947969127,-0.4968840989880235,0.02019167801145212,-0.3064550563627679,2.194143871877871,-1.8433276760612252,0.09760171008748185,-1.6792553505123717,0.658744793650569,0.0776966915665347
2021,Manokwari Selatan,0.1977888668985436,-0.49030361559709484,0.1112740118068439,-0.3239732598803101,1.7234977179430135,-1.8045561382453699,0.5448403285559723,-1.9143932336346372,0.675599375079236,0.06986893655896252
2021,Kota Sorong,0.019541686807119735,-0.7634117220689635,0.37484286981080955,-0.2495739594244813,0.15158665125974713,-2.6617685965214988,1.7262419520530805,-1.4608114785887683,0.6907842129536472,0.013055239516844199
2021,Maybrat,0.07797899837982056,-0.7068484691667092,0.2938899684602988,-0.26014916062225907,0.6430664263147469,-2.5241618607935994,1.4020044161850906,-1.5449916139966071,0.6881030848167313,0.10073845259126034
2021,Raja Ampat,0.0009613499681536408,-0.8907373336674598,0.41932425014642044,-0.19272891182189453,0.0074016952229454735,-3.0258983843700458,1.9073749740983144,-1.104873322948296,0.6816120791969054,0.07658299029429713
2021,Sorong,0.030663509923104265,-0.7697758443236344,0.3622701233328328,-0.2434862943308958,0.24165207625259452,-2.6923917658665566,1.6823350055457638,-1.4278140856889954,0.6892300232209434,0.03888092693996381
2021,Sorong Selatan,0.06155942847609003,-0.7643677860089835,0.3232023961261356,-0.23728961057265557,0.5036662993724313,-2.7024208256990696,1.532169953516707,-1.4004562749339655,0.6861419974739941,0.013211172937442511
2021,Tambrauw,0.07771820152861082,-0.6452848230773897,0.28500367913220603,-0.2897657766785765,0.631724537209775,-2.3086823292378713,1.3516484710852716,-1.723311640518245,0.6926525342702264,0.10558902897210344
2022,Biak Numfor,0.36196369001317164,-0.13533480425254726,-0.07512112201469351,-0.5288141350261994,2.7811720813336263,-0.5183236201888141,-0.34056122884027185,-2.5049660661483313,0.6763541851019913,0.016938474385263046
2022,Jayapura,-0.2796669104760604,-0.6850776792204075,-0.15933928959926233,-0.09713110200936491,-2.089779956513743,-2.3539521921042494,-0.5985130535616907,-0.46594638894078605,0.8576349233892833,0.0681737208140577
2022,Keerom,-0.3713090990081556,-0.6174458287390928,-0.3041850387761564,-0.05531770520367252,-2.611226504114684,-1.9712310297052267,-1.0353337724870597,-0.25696425231394626,0.8596593314245948,0.04865569982293559
2022,Kepulauan Yapen,0.33894623550190706,-0.3155705042087147,0.06869480771773166,-0.5249159652628239,2.717340272344924,-1.2794834286993033,0.3265148177936018,-2.3563879287307787,0.7280896054257193,0.044565872794720546
2022,Kota Jayapura,-0.4106997635198788,-0.5835675465701231,-0.37315853759109185,-0.03379841591697724,-2.595345232919109,-1.6718520776662553,-1.1057487050518395,-0.1516240125581399,0.8662722544313696,0.01790940058338432
2022,Mamberamo Raya,0.18775374274545648,-0.7382128138519135,0.28133063927421326,-0.2999486866223486,1.5465782696145496,-2.8429508173268463,1.2632804651895921,-1.2728426781466553,0.8064810070587498,0.08470018505602839
2022,Sarmi,-0.21413237171589805,-0.7391218832948132,-0.06080090780914003,-0.1254770999839595,-1.5613388763895804,-2.4841325679325017,-0.22463569730236835,-0.5993542241430091,0.8567395462606853,0.07087588577171733
2022,Supiori,0.34151230036035046,-0.11276453241717418,-0.08299009009594085,-0.5127649782683487,2.5393748603094823,-0.4298287479811019,-0.3830046199494971,-2.4686754462212903,0.6555725037006062,0.04345549802287302
2022,Waropen,0.2793040847299488,-0.48547207704839734,0.1712205986241516,-0.47832856139271046,2.190385337173335,-1.8755066640277167,0.8127687484276372,-1.8133689457962379,0.7675573426843414,0.020220043857444494
2022,Jayawijaya,-0.16120424522292853,-0.7592027331239899,0.020937775856724627,-0.16166159950320488,-1.3863407577526046,-2.9844171025869723,0.09657571338596069,-0.8121893982611001,0.8318394471483949,0.09811212186225177
2022,Lanny Jaya,-0.05682852508322456,-0.7718953746577715,0.1272966192789682,-0.21889419070294405,-0.4897792645413432,-3.078289919307815,0.6058049908570162,-1.038882846357614,0.8142211346942849,0.08632069681747091
2022,Mamberamo Tengah,-0.1525704574096972,-0.7520036430833013,0.02174152657247508,-0.1651217278456322,-1.2909849337923927,-2.9428793813829484,0.09821151095060612,-0.833606215162048,0.8414166011853186,0.04634286617507708
2022,Nduga,-0.05200955124895306,-0.7721934238989944,0.1338146211761058,-0.2211310038923127,-0.44158786387225957,-3.0424694942297994,0.6375895427083976,-0.9763454048239647,0.8027844483349277,0.015558709747875063
2022,Pegunungan Bintang,-0.32708802058408154,-0.639464383663053,-0.21598755429208988,-0.11780072903192448,-2.5954822511504854,-2.2911448996376884,-0.8754426865256031,-0.5710635678063697,0.8545266900343753,0.06083079278868566
2022,Tolikara,-0.05253895735760047,-0.7758359037909297,0.12754819904592396,-0.21572882381348804,-0.44697903460560395,-3.0628536532010022,0.5961947027459357,-1.0525785286139084,0.8239737811720773,0.044263121152192476
